symbol,horizon,mae,rmse,mape,directional_accuracy,status,error
AARON,5d,4.321610050912351,5.689377851146185,184.75986138440922,53.80710659898477,SUCCESS,
AARON,1w,6.552636742010828,8.30879974307337,388.85356409675865,60.40609137055838,SUCCESS,
AARON,1mo,9.900942931559623,11.57827035883667,247.8738035252196,62.5,SUCCESS,
AARTIDRUGS,1d,3.0139661328990845,3.967368027567171,700.4635435664554,44.79271991911021,SUCCESS,
AARTIDRUGS,3d,4.886220457992938,6.603563467902936,615.620597814511,54.39838220424671,SUCCESS,
AARTIDRUGS,5d,5.7129702264276,8.027632382373255,269.2332930253541,54.25101214574899,SUCCESS,
AARTIDRUGS,1w,7.217013235279634,9.667170400155683,460.15753078574164,56.37651821862348,SUCCESS,
AARTIDRUGS,1mo,11.618130567476848,14.486276887558514,332.4495117821799,48.42319430315361,SUCCESS,
AARTIIND,1d,1.6761411310594345,2.309946105492852,224.03603279444533,44.06457739791073,SUCCESS,
AARTIIND,3d,3.6796283495987745,5.001713422349332,377.60003754779115,52.42165242165242,SUCCESS,
AARTIIND,5d,4.689829651896117,6.288399499585198,300.3079871344355,52.23171889838556,SUCCESS,
AARTIIND,1w,6.1037938906608575,7.825592773675053,404.7621663684105,55.98859315589354,SUCCESS,
AARTIIND,1mo,10.319213718419608,12.462733151005768,282.5418223835329,49.52290076335878,SUCCESS,
AARTIPHARM,1d,,,,,FAILED,"""['volatility_252d', 'drawdown_252d', 'var95_252d', 'expected_shortfall_252d', 'risk_score', 'nearest_support', 'nearest_resistance', 'support_strength', 'resistance_strength', 'distance_to_support_pct', 'distance_to_resistance_pct', 'breakout_zone_lower', 'breakout_zone_upper', 'breakdown_zone_lower', 'breakdown_zone_upper', 'signal_level', 'signal_value'] not in index"""
AARTIPHARM,3d,,,,,FAILED,"""['volatility_252d', 'drawdown_252d', 'var95_252d', 'expected_shortfall_252d', 'risk_score', 'nearest_support', 'nearest_resistance', 'support_strength', 'resistance_strength', 'distance_to_support_pct', 'distance_to_resistance_pct', 'breakout_zone_lower', 'breakout_zone_upper', 'breakdown_zone_lower', 'breakdown_zone_upper', 'signal_level', 'signal_value'] not in index"""
AARTIPHARM,5d,,,,,FAILED,"""['volatility_252d', 'drawdown_252d', 'var95_252d', 'expected_shortfall_252d', 'risk_score', 'nearest_support', 'nearest_resistance', 'support_strength', 'resistance_strength', 'distance_to_support_pct', 'distance_to_resistance_pct', 'breakout_zone_lower', 'breakout_zone_upper', 'breakdown_zone_lower', 'breakdown_zone_upper', 'signal_level', 'signal_value'] not in index"""
AARTIPHARM,1w,,,,,FAILED,"""['volatility_252d', 'drawdown_252d', 'var95_252d', 'expected_shortfall_252d', 'risk_score', 'nearest_support', 'nearest_resistance', 'support_strength', 'resistance_strength', 'distance_to_support_pct', 'distance_to_resistance_pct', 'breakout_zone_lower', 'breakout_zone_upper', 'breakdown_zone_lower', 'breakdown_zone_upper', 'signal_level', 'signal_value'] not in index"""
AARTIPHARM,1mo,,,,,FAILED,"""['volatility_252d', 'drawdown_252d', 'var95_252d', 'expected_shortfall_252d', 'risk_score', 'nearest_support', 'nearest_resistance', 'support_strength', 'resistance_strength', 'distance_to_support_pct', 'distance_to_resistance_pct', 'breakout_zone_lower', 'breakout_zone_upper', 'breakdown_zone_lower', 'breakdown_zone_upper', 'signal_level', 'signal_value'] not in index"""
AARTISURF,1d,2.1610085805347117,3.2248136617457708,499.76941036599374,52.86624203821656,SUCCESS,
AARTISURF,3d,3.717591185280115,5.028728473638066,479.0985608788134,57.324840764331206,SUCCESS,
AARTISURF,5d,4.921537294550255,6.434363794781377,618.6402159120288,50.641025641025635,SUCCESS,
AARTISURF,1w,6.441800112854152,7.829358861570414,612.4407884713924,53.205128205128204,SUCCESS,
AARTISURF,1mo,12.36684358229054,14.148023937589175,315.3261462573337,42.384105960264904,SUCCESS,
AARVEEDEN,1d,2.788694981789948,3.7685148480236195,172.6773924704634,49.87834549878345,SUCCESS,
AARVEEDEN,3d,4.270997539356663,6.120800027684971,137.77453084393045,49.93909866017052,SUCCESS,
AARVEEDEN,5d,5.501592418524984,7.659231505787094,155.89196109519062,51.40073081607795,SUCCESS,
AARVEEDEN,1w,6.34212023522844,8.719069211200248,145.03028766959596,49.02439024390244,SUCCESS,
AARVEEDEN,1mo,14.48363713900261,17.347794968929726,245.737195381708,39.58333333333333,SUCCESS,
AARVI,1d,2.6098760515266326,3.928769898182555,352.1706308928283,53.42465753424658,SUCCESS,
AARVI,3d,4.764742186753713,6.603732969897973,532.7263150033464,53.082191780821915,SUCCESS,
AARVI,5d,6.046930360292422,8.087033356021767,402.6913470530876,50.68493150684932,SUCCESS,
AARVI,1w,6.23118597941987,8.296607697673236,460.3422924605282,51.20274914089347,SUCCESS,
AARVI,1mo,11.048406208294246,13.517409726731346,183.30510545125824,39.37282229965157,SUCCESS,
AAVAS,1d,1.4061297665941086,1.872285004114595,187.18635289062829,55.55555555555556,SUCCESS,
AAVAS,3d,2.9128317332973404,3.7736851802372198,232.41712937344573,47.73662551440329,SUCCESS,
AAVAS,5d,3.6564784625672053,4.832981250692516,274.35655830981347,52.066115702479344,SUCCESS,
AAVAS,1w,4.865111192084838,6.0630705206487905,481.3980085708783,51.652892561983464,SUCCESS,
AAVAS,1mo,8.688240163032416,12.38277112614596,528.0555782736633,48.52320675105485,SUCCESS,
ABAN,1d,2.520655573687643,3.608954092929733,135.89579769989172,45.26315789473684,SUCCESS,
ABAN,3d,5.5558900174578065,7.526935110152618,258.57815318214085,48.275862068965516,SUCCESS,
ABAN,5d,8.593828454330932,11.029591943956806,387.28989393993584,48.65900383141762,SUCCESS,
ABAN,1w,10.534269666300151,13.330045841514526,410.8314628331589,44.48705656759348,SUCCESS,
ABAN,1mo,18.415088811544045,21.978347758698842,473.72591568863777,38.3060635226179,SUCCESS,
ABB,1d,1.5605542757152573,2.151261557062554,219.08569865106475,49.747048903878586,SUCCESS,
ABB,3d,3.3273589759864315,4.2694210600162625,445.9349174543165,57.08263069139966,SUCCESS,
ABB,5d,3.820681366186959,4.995203614503495,747.4166108623448,56.23946037099494,SUCCESS,
ABB,1w,4.471618492336447,5.839954626496321,193.41562237481617,50.46413502109704,SUCCESS,
ABB,1mo,9.099322030675433,11.159117023659636,200.1862296691105,52.667231160033865,SUCCESS,
ABCAPITAL,1d,1.8626694778287143,2.3382250960195203,323.18837025550437,47.651006711409394,SUCCESS,
ABCAPITAL,3d,4.877100788128781,5.885238690620275,526.3130121059153,43.77104377104377,SUCCESS,
ABCAPITAL,5d,7.369303444343123,8.761858039511342,698.1372844700284,47.474747474747474,SUCCESS,
ABCAPITAL,1w,10.676545806749973,12.295679121893322,745.7922483170955,51.01351351351351,SUCCESS,
ABCAPITAL,1mo,19.286715368468602,21.328545743576807,557.9077447896357,54.794520547945204,SUCCESS,
ABFRL,1d,1.7739040968711755,2.326417469254479,232.67648661426102,52.0,SUCCESS,
ABFRL,3d,3.567380638978406,4.580544172751093,238.7676852388075,50.8,SUCCESS,
ABFRL,5d,4.720382080211492,6.038906132171691,385.90507693699124,50.901803607214426,SUCCESS,
ABFRL,1w,5.751193363066914,7.141093923520079,407.02805156145087,50.50100200400801,SUCCESS,
ABFRL,1mo,13.14772665414168,15.952735319948268,711.420558054474,48.78542510121457,SUCCESS,
ABHISHEK,1d,2.910687828665622,3.5906151236997528,154.2396575654136,45.09803921568628,SUCCESS,
ABHISHEK,3d,3.282353881870107,4.384054530498922,99.96299591612211,50.0,SUCCESS,
ABHISHEK,5d,3.5598126494403624,4.928975777044636,120.74872073059186,50.65359477124183,SUCCESS,
ABHISHEK,1w,4.08145057156468,5.278379153911779,114.9541415663142,44.11764705882353,SUCCESS,
ABHISHEK,1mo,8.952611974815039,10.958194654487468,149.99244060155533,47.05882352941176,SUCCESS,
ABMINTLLTD,1d,2.701482322512501,3.40778139527041,152.4879608943976,48.0,SUCCESS,
ABMINTLLTD,3d,5.396752015188132,7.41940676973751,178.26067523309317,43.0,SUCCESS,
ABMINTLLTD,5d,7.349366521275955,9.505415526659206,135.6935096284191,42.80936454849498,SUCCESS,
ABMINTLLTD,1w,7.7557958486941345,10.403124326057156,157.67178714372835,47.82608695652174,SUCCESS,
ABMINTLLTD,1mo,11.602690719580112,14.300670635027046,203.40393785108895,46.25850340136054,SUCCESS,
ABSLAMC,1d,1.1027586386264956,1.4215657517639328,146.20537065067302,58.94736842105262,SUCCESS,
ABSLAMC,3d,2.1718506053197175,2.8487124984333487,392.23299688560735,55.319148936170215,SUCCESS,
ABSLAMC,5d,2.4827429266707397,3.369001135379264,268.7580146052362,45.744680851063826,SUCCESS,
ABSLAMC,1w,3.3827492155479932,4.398072352620172,452.7157407013674,50.0,SUCCESS,
ABSLAMC,1mo,6.552093566390146,9.717544257233905,93.892987027734,59.55056179775281,SUCCESS,
ACC,1d,1.6145225931955987,2.181309461362915,431.87228977837594,45.77397910731244,SUCCESS,
ACC,3d,3.2275635640992526,4.217044354081423,825.9043947887692,53.89733840304183,SUCCESS,
ACC,5d,4.397190504358235,5.6009970243222185,428.5561845031177,56.55893536121673,SUCCESS,
ACC,1w,4.508429547563519,5.894352911330969,413.22090138497964,55.98859315589354,SUCCESS,
ACC,1mo,7.334765599347013,9.223089197789315,298.8318674666469,57.49761222540592,SUCCESS,
ACCELYA,1d,1.6383101032897254,2.477509520237281,164.42978419352124,52.516619183285854,SUCCESS,
ACCELYA,3d,3.005064142921977,4.226162397696596,233.17587422992693,54.657794676806084,SUCCESS,
ACCELYA,5d,4.10944708139635,5.6617006928556615,216.77280075113313,52.09125475285171,SUCCESS,
ACCELYA,1w,4.850687417550145,6.577751614801602,276.97228449388257,55.32319391634981,SUCCESS,
ACCELYA,1mo,9.538806769762257,11.817088049228381,245.30620628401758,51.28939828080229,SUCCESS,
ACCURACY,1d,5.89121376068322,6.768321496701655,668.0895917940552,43.92156862745098,SUCCESS,
ACCURACY,3d,9.641490160705395,10.81087595428263,478.28634298740997,52.94117647058824,SUCCESS,
ACCURACY,5d,15.562030822511058,17.020061025449444,845.5928890299996,45.66929133858268,SUCCESS,
ACCURACY,1w,16.964002850160274,18.513485059354444,521.4520541891271,48.031496062992126,SUCCESS,
ACCURACY,1mo,15.964197290426272,19.119474726101657,447.5449285811325,51.00401606425703,SUCCESS,
ACE,1d,2.4231206112474037,3.3381235660323463,185.31465199233773,50.23923444976076,SUCCESS,
ACE,3d,4.209822571732198,5.751358065923357,218.21101941864626,55.86124401913876,SUCCESS,
ACE,5d,6.039348846638563,7.807287684472242,287.0461235840715,56.526946107784426,SUCCESS,
ACE,1w,6.800771718314062,8.668548083492219,236.04775799880028,53.17365269461077,SUCCESS,
ACE,1mo,18.020574660179843,21.037133510207187,345.5020684613057,42.40963855421687,SUCCESS,
ACEINTEG,1d,3.002117307362059,4.0052948540496605,144.67479964212492,59.31372549019608,SUCCESS,
ACEINTEG,3d,5.15804530933242,6.780685125132724,228.7943374982458,58.82352941176471,SUCCESS,
ACEINTEG,5d,6.133833064350045,7.918550964972827,226.5875511511813,62.5615763546798,SUCCESS,
ACEINTEG,1w,6.032953397493837,8.07037409154857,154.50241328480456,57.14285714285714,SUCCESS,
ACEINTEG,1mo,9.27436629622395,11.50815842920248,180.88442350999426,52.02020202020202,SUCCESS,
ACI,1d,,,,,FAILED,"""['volatility_252d', 'drawdown_252d', 'var95_252d', 'expected_shortfall_252d', 'risk_score', 'nearest_support', 'nearest_resistance', 'support_strength', 'resistance_strength', 'distance_to_support_pct', 'distance_to_resistance_pct', 'breakout_zone_lower', 'breakout_zone_upper', 'breakdown_zone_lower', 'breakdown_zone_upper', 'signal_level', 'signal_value'] not in index"""
ACI,3d,,,,,FAILED,"""['volatility_252d', 'drawdown_252d', 'var95_252d', 'expected_shortfall_252d', 'risk_score', 'nearest_support', 'nearest_resistance', 'support_strength', 'resistance_strength', 'distance_to_support_pct', 'distance_to_resistance_pct', 'breakout_zone_lower', 'breakout_zone_upper', 'breakdown_zone_lower', 'breakdown_zone_upper', 'signal_level', 'signal_value'] not in index"""
ACI,5d,,,,,FAILED,"""['volatility_252d', 'drawdown_252d', 'var95_252d', 'expected_shortfall_252d', 'risk_score', 'nearest_support', 'nearest_resistance', 'support_strength', 'resistance_strength', 'distance_to_support_pct', 'distance_to_resistance_pct', 'breakout_zone_lower', 'breakout_zone_upper', 'breakdown_zone_lower', 'breakdown_zone_upper', 'signal_level', 'signal_value'] not in index"""
ACI,1w,,,,,FAILED,"""['volatility_252d', 'drawdown_252d', 'var95_252d', 'expected_shortfall_252d', 'risk_score', 'nearest_support', 'nearest_resistance', 'support_strength', 'resistance_strength', 'distance_to_support_pct', 'distance_to_resistance_pct', 'breakout_zone_lower', 'breakout_zone_upper', 'breakdown_zone_lower', 'breakdown_zone_upper', 'signal_level', 'signal_value'] not in index"""
ACI,1mo,,,,,FAILED,"""['volatility_252d', 'drawdown_252d', 'var95_252d', 'expected_shortfall_252d', 'risk_score', 'nearest_support', 'nearest_resistance', 'support_strength', 'resistance_strength', 'distance_to_support_pct', 'distance_to_resistance_pct', 'breakout_zone_lower', 'breakout_zone_upper', 'breakdown_zone_lower', 'breakdown_zone_upper', 'signal_level', 'signal_value'] not in index"""
ADANIENT,1d,2.657206165478571,3.8587159174338352,361.29042821485666,48.812915479582145,SUCCESS,
ADANIENT,3d,5.83377154835406,7.637691993418799,614.0675364168692,49.477682811016145,SUCCESS,
ADANIENT,5d,7.33934419628055,9.568118163691617,394.8686716113851,52.75665399239544,SUCCESS,
ADANIENT,1w,8.207012680301954,10.32109208293807,674.5891902691161,50.09505703422054,SUCCESS,
ADANIENT,1mo,15.05946122088406,17.746490579725286,431.14205564870804,39.6370582617001,SUCCESS,
ADANIGREEN,1d,2.8873713165557175,3.935450513272364,425.66016127708446,56.201550387596896,SUCCESS,
